amenity,name,lon,lat
hospital,BGS Gleneagles Hospitals,77.4974982,12.90306
restaurant,Hotel Dream Land,77.4973876,12.9267671
restaurant,The Club,77.5169615,12.9368003
atm,ICICI Bank,77.5179968,12.9359271
hospital,Rc Hospital,77.5153776,12.930936
hospital,Veturi Child Health Centre,77.5156579,12.9263226
restaurant,Beijing Bites,77.5206736,12.9214078
restaurant,Ron-Inn Bar & Restaurant,77.513258,12.9603129
hospital,MEDSOL Hospital,77.4929837,12.9309944
restaurant,PES Food Court,77.5343127,12.9336327
restaurant,Swathi Restaurant,77.5075094,12.9608966
hospital,"Panacea Hospital, Nagarabhavi",77.511726,12.9613237
restaurant,Monish Corner,77.5199911,12.9266584
hospital,"Vasan Eye Care Hospital, Rajarajeswari Nagar",77.5154779,12.931334
hospital,Rajarajeshwari Hospital and Medical College,77.4618775,12.896052
restaurant,Pallavi,77.5057926,12.9045616
atm,Bank of Baroda,77.4963246,12.899315
restaurant,Twillight Tandoor Resto,77.5179594,12.9313955
restaurant,Sri Krishna Nandagokula Veg,77.5167879,12.9365363
restaurant,Kaapi Katte,77.520671,12.9162563
restaurant,OSR Andhra Spice,77.5209983,12.9061516
atm,ICICI,77.5344569,12.9342254
hospital,"S K Hospital, Bengaluru Urban",77.5184436,12.957572
restaurant,Rotti Mane Dhabha,77.5331667,12.9070254
atm,Axis Bank,77.4847857,12.9113106
restaurant,royal andaaz,77.4953504,12.9220858
atm,Karnataka Bank,77.52503,12.9411112
hospital,Usha Vikranth Diagnostic Center and Hospital,77.5273633,12.9138086
atm,State Bank of India,77.5304519,12.9460972
restaurant,Canteen NLSIU,77.5171196,12.9552984
atm,Axis Bank,77.5266311,12.9433649
hospital,Kengeri Upanagara Government Hospital,77.4808065,12.9156896
atm,HDFC Bank,77.5367068,12.9349665
hospital,Abhay Hospital,77.4939886,12.9517481
hospital,Chandana Hospital,77.5114394,12.9579894
hospital,"Shreya Hospital, Bengaluru Rural",77.4832503,12.9215104
hospital,Sri Annapoorneshwari Hospital,77.4857756,12.9255704
hospital,Mathru Hospital - Bangalore,77.4806057,12.9110975
hospital,Belaku Eye Hospital,77.4800451,12.9110766
hospital,"Unity Hospital, Bengaluru Urban",77.5207892,12.910823
hospital,HK Hospital,77.4784157,12.9085981
hospital,"Vijaya Hospital, Bengaluru Urban",77.48376,12.9418827
hospital,Sankalpa Hospital,77.4918039,12.95119
restaurant,Eastwind (Delicious Biryani),77.5176248,12.9366068
atm,Oriental Bank of Commerce,77.5062892,12.9304328
restaurant,Biryani Bhavan,77.4983083,12.9246587
hospital,Sree Ranga Hospital,77.4927128,12.9358669
atm,Kotak Mahindra Bank,77.4993891,12.9249186
atm,UCO Bank,77.5062449,12.9316197
hospital,Abivrud Cancer Care & Research Centre,77.4973049,12.963967
atm,State Bank of India,77.4870761,12.9299385
atm,ICICI Bank,77.4868389,12.928684
hospital,Adarsh Hospital,77.4847891,12.9208444
atm,Axis Bank,77.4856678,12.9261822
atm,Axis Bank,77.5045383,12.9614543
restaurant,Sarasa Japanese Kitchen,77.4847041,12.9235809
atm,Canara bank,77.483471,12.9214381
restaurant,Hoysala Darshini (veg),77.4850731,12.9245385
restaurant,Udupi Gardenia,77.46676,12.9003599
restaurant,Pizza Hut,77.5253631,12.9402744
atm,ICICI Bank,77.4837747,12.9206492
atm,Karnataka Bank,77.4827407,12.910247
atm,IDFC First Bank,77.4846294,12.9115175
restaurant,Ba Guru Thindi Madona,77.5352415,12.9294996
hospital,"Fortis Hospital, Nagarbhavi",77.5112481,12.9596032
restaurant,Paakashala Heritage,77.5307716,12.9038928
atm,Axis Bank,77.5267609,12.9496882
restaurant,Daysie,77.5167967,12.9331882
restaurant,Soda Factory,77.4875539,12.9580734
restaurant,Serious Slice,77.5166559,12.9330366
restaurant,Kadamba Veg,77.4870121,12.9138844
hospital,"Shri Mokambika Women's Clinic, Child care and Nethralaya",77.4989075,12.9519863
hospital,Suraksha Diagnostic Centre,77.4990341,12.9519538
restaurant,Kadamba,77.4689944,12.901609
restaurant,154 Breakfast Club,77.5133944,12.9112491
restaurant,MM Foods,77.4997987,12.9234508
restaurant,Hotel Dream Land Family Restaurant,77.4985064,12.9248386
restaurant,Mojo Pizza,77.4982973,12.9246933
restaurant,Paakashala,77.5149732,12.9300874
restaurant,The Green Village Restaurant,77.5165647,12.8825205
restaurant,Karishma Valley Restaurant,77.5164708,12.8847822
restaurant,Season 18 Lounge and Kitchen,77.516275,12.8882126
restaurant,MBR Grand,77.5162697,12.888414
restaurant,Mad Doh Sourdough Pizzeria,77.5119377,12.9075231
